id;code;start_date;end_date
1;Beauty dynamic schemas;2019-08-17T02:59:15;2019-08-17T01:01:15
2;Keyboard;2019-08-16T19:35:32;2019-08-17T15:37:31
3;Usability models New Mexico;2019-08-16T19:23:39;2019-08-17T07:24:59
4;Accountability;2019-08-16T20:40:08;2019-08-17T04:12:58
5;Chair;2019-08-17T07:35:03;2019-08-17T08:25:09
6;online Strategist Shirt;2019-08-17T03:11:43;2019-08-16T23:27:52
7;redefine transmitting;2019-08-17T03:47:47;2019-08-16T21:20:04
8;Bypass;2019-08-17T07:29:55;2019-08-17T14:14:30
9;Movies;2019-08-17T15:38:44;2019-08-16T20:42:04
10;haptic Producer Agent;2019-08-17T04:07:26;2019-08-17T03:24:39
