id;city;building;zone;street
1;Reingerside;navigating Ergonomic Falls;User-friendly;Corbin Garden
2;Port Margaretmouth;Fantastic Concrete Computer Baby;Kyrgyz Republic transmit;Stark Mount
3;Lubowitzshire;Refined redundant;Granite Grocery;Liliane Shore
4;Mckennafort;Corporate;Industrial seamless;Giuseppe Path
5;Humbertoton;array Luxembourg Spurs;empower Home Loan Account SMS;Caitlyn Village
6;Port Ronny;compress Practical Steel Chips;Berkshire concept;Dayana Point
7;North Kaitlyn;Creek;Shirt Metal;Deckow Port
8;Ezequielbury;RSS Buckinghamshire Officer;teal Licensed Wooden Pants;Dare Gardens
9;North Katelynland;Island cyan;Granite open architecture;Bosco Haven
10;Kshlerinstad;Sleek GB Regional;Home;Arturo Track
