id;code;effective_date;start_date;end_date;rent;deposit;utilities
1;calculating Intranet Ergonomic Concrete Soap;2019-08-17T01:25:29;2019-08-16T17:46:16;2019-08-17T08:55:29;14008;25416;system-worthy portal
2;Belize Dollar Sudanese Pound real-time;2019-08-17T10:29:10;2019-08-17T10:24:57;2019-08-16T22:06:28;41978;81011;HDD
3;Sleek Beauty Auto Loan Account;2019-08-17T12:52:11;2019-08-17T01:55:59;2019-08-17T15:49:46;70196;39678;Unbranded Fresh Pants Tools California
4;North Dakota Garden;2019-08-17T06:21:28;2019-08-17T13:48:40;2019-08-17T04:30:32;98184;28654;Utah Computers Small Fresh Gloves
5;Brunei Darussalam interface;2019-08-16T21:39:49;2019-08-16T23:03:09;2019-08-17T11:00:55;21582;96525;Club backing up
6;Iran;2019-08-17T04:33:25;2019-08-17T00:44:38;2019-08-17T02:14:02;13835;72609;Strategist
7;card Licensed Cotton Ball;2019-08-17T07:07:40;2019-08-17T06:59:49;2019-08-16T23:40:31;7845;25086;Chips
8;navigating;2019-08-17T00:49:44;2019-08-17T01:00:30;2019-08-17T07:43:03;5819;17329;Table Enterprise-wide Benin
9;Tuna Response invoice;2019-08-17T05:07:54;2019-08-16T23:49:22;2019-08-17T01:45:42;55435;43567;system Gorgeous Rubber Pants
10;hack;2019-08-17T17:11:12;2019-08-17T09:19:38;2019-08-17T14:44:47;9179;4600;Incredible Fresh Chips
